;sentence1_DE;sentence2_DE;gold_label;sentence1;sentence2
2416;Der Lieferant hat dafür Sorge zu tragen, dass die Ware in qualitativ einwandfreien Zustand geliefert wird.;Der Lieferant hat dafür Sorge zu tragen, dass die Ware in einem ordnungsgemäßen Zustand den Anlieferort erreicht.;neutral;The supplier must ensure that the goods are delivered in perfect condition.;The supplier must ensure that the goods reach the place of delivery in a proper condition.
2417;Auf dem gesamten Werksgelände gilt die Straßenverkehrsordnung.;Selbstverständlich gilt auf dem Werksgelände die Straßenverkehrsordnung.;neutral;Road traffic regulations apply throughout the factory premises.;Of course, the road traffic regulations apply on the factory premises.
2418;Das Öffnen des IT-Gerätes und das Durchführen von Veränderungen an der Hardware (z. B. Ein- / Ausbau von Festplatten, Speicherbausteinen) sowie manuelle Veränderungen der Sicherheitseinstellungen (z. B. Browsereinstellungen) ist nur den zuständigen Stellen (siehe Anhang, B. 1.14) gestattet.;Das Öffnen des IT-Gerätes und das Durchführen von Veränderungen an der Hardware (z. B. Ein / Ausbau von Festplatten, Speicherbausteinen) sowie manuelle Veränderungen der Sicherheitseinstellungen (z. B. Browsereinstellungen) ist nur den zuständigen Stellen (siehe Anhang, A. 4.4) gestattet.;neutral;Opening the IT device and making changes to the hardware (e.g. installing/removing hard disks, memory modules) as well as manually changing the security settings (e.g. browser settings) is only permitted for the responsible departments (see Appendix, B. 1.14).;Opening the IT device and making changes to the hardware (e.g. installation/removal of hard disks, memory modules) as well as manual changes to the security settings (e.g. browser settings) is only permitted for the responsible departments (see Appendix, A. 4.4).
2419;Der LIEFERANT gewährt der Mustermann AG und - soweit erforderlich - dessen Kunden Zutritt zu allen Betriebsstätten, Prüfstellen, Lagern und angrenzenden Bereichen sowie Einsicht in qualitätsrelevante Dokumente.;Der Auftragnehmer gewährt dem Auftraggeber und - soweit erforderlich - dessen Kunden Zutritt zu allen Betriebsstätten, Prüfstellen, Lagern und angrenzenden Bereichen sowie Einsicht in qualitätsrelevante Dokumente.;different context;The SUPPLIER shall grant Mustermann AG and - if necessary - its customers access to all operating facilities, test centers, warehouses and adjacent areas as well as access to quality-relevant documents.;The Contractor shall grant the Client and - where necessary - its customers access to all operating sites, test centers, warehouses and adjacent areas as well as access to quality-relevant documents.
2420;Bezieht der Lieferant für die Herstellung oder die Qualitätssicherung der Vertragsgegenstände Vorlieferungen (Vormaterialien, Software, Dienstleistungen, Fertigungs- und / oder Prüfmittel) von Dritten (Vorlieferant ), so sichert der Lieferant die Qualität solcher Vorlieferungen mit eigenen Mitteln und durch vertragliche Einbindung des Vorlieferanten, z. B. mit der Einforderung von CQI (Continuous Quality Improvement)  Unterlagen von Vorlieferanten, in das Qualitätsmanagementsystem des Lieferanten ab.;Bezieht der Lieferant Leistungen oder Produkte von Unterlieferanten, so wird er diese Lieferanten vertraglich in sein QMSystem einbeziehen oder selbst die Qualität der Vorlieferungen sichern.;contradiction;If the Supplier procures pre-supplies (primary materials, software, services, production and/or testing equipment) from third parties (upstream suppliers) for the manufacture or quality assurance of the contractual items, the Supplier shall ensure the quality of such pre-supplies by its own means and by contractually integrating the upstream supplier, e.g. by requesting CQI (Continuous Quality Improvement) documents from upstream suppliers, into the Supplier's quality management system.;If the Supplier procures services or products from subcontractors, it shall contractually include these suppliers in its QM system or ensure the quality of the upstream deliveries itself.
2421;Die Mustermann AG Norm 3332 kann insgesamt referenziert werden durch Angaben der Normnummer „ Mustermann AG Norm 3332 (alle Teile) “ ohne Nennung eines Teildokuments oder es kann ein Teildokument einzeln referenziert werden, z. B. als „ Mustermann AG Norm 3332 - 4 “.;Die Mustermann AG Norm 3332 kann insgesamt referenziert werden durch Angaben der Normnummer „ Mustermann AG Norm 3332 (alle Teile) “ ohne Nennung eines Teildokuments oder es kann ein Teildokument einzeln referenziert werden, z. B. als „ Mustermann AG Norm 3332 - 2 “.;neutral;"The Mustermann AG Standard 3332 can be referenced as a whole by specifying the standard number "" Mustermann AG Standard 3332 (all parts) "" without naming a sub-document or a sub-document can be referenced individually, e.g. as "" Mustermann AG Standard 3332 - 4 "".";"The Mustermann AG Standard 3332 can be referenced as a whole by specifying the standard number "" Mustermann AG Standard 3332 (all parts) "" without naming a sub-document or a sub-document can be referenced individually, e.g. as "" Mustermann AG Standard 3332 - 2 ""."
2422;Vor Beginn von Tiefbauarbeiten (Ausschachtungen, Gruben, Kanäle usw.) muss sich die ausführende Firma bei dem Mustermann AG Koordinator über die Lage der stromführenden Kabel, Wasser-, Gas- und Sauerstoffleitungen informieren.;Vor Beginn von Tiefbauarbeiten (Ausschachtungen, Gruben, Kanäle etc.) sowie bei Bohr- und Spritzarbeiten an Gebäuden muss sich die ausführende Firma beim Koordinator der Mustermann AG über die Lage der stromführenden Kabel, Wasser-, Gasleitungen etc. informieren.;inconsistent;Before starting civil engineering work (excavations, pits, sewers, etc.), the company carrying out the work must obtain information from the Mustermann AG coordinator about the location of live cables, water, gas and oxygen lines.;Before starting civil engineering work (excavations, pits, sewers, etc.) and drilling and spraying work on buildings, the company carrying out the work must obtain information from the coordinator at Mustermann AG about the location of live cables, water pipes, gas pipes, etc.
2423;Nach Abschluss der Arbeiten den Arbeitsbereich gründlich absaugen.;Nach Abschluss der Arbeiten den Arbeitsbereich kontrollieren.;inconsistent;After completing the work, vacuum the work area thoroughly.;After completing the work, check the work area.
2424;Ordnungsprüfung: Die Prüfung bezieht sich auf die Lieferscheine und die Unterlagen der Eigenüberwachung.;Ordnungsprüfung: Die Prüfung bezieht sich auf die Lieferscheine, die Unterlagen der Eigenüberwachung und Eigenprüfung sowie die Planunterlagen.;inconsistent;Regularity check: The check refers to the delivery bills and the self-monitoring documents.;Proper inspection: The inspection refers to the delivery bills, the self-monitoring and self-testing documents and the planning documents.
2425;Legen Sie Widerspruch ein, werden wir Ihre personenbezogenen Daten nicht mehr verarbeiten, es sei denn, wir können zwingende schutzwürdige Gründe für die Verarbeitung nachweisen, die Ihre Interessen, Rechte und Freiheiten überwiegen, oder die Verarbeitung dient der Geltendmachung, Ausübung oder Verteidigung von Rechtsansprüchen.;Legen Sie Widerspruch ein, werden Ihre personenbezogenen Daten nicht mehr verarbeitet, es sei denn, wir können zwingende schutzwürdige Gründe für die Verarbeitung nachweisen, die Ihre Interessen, Rechte und Freiheiten überwiegen, oder die Verarbeitung dient der Geltendmachung, Ausübung oder Verteidigung von Rechtsansprüchen.;neutral;If you object, we will no longer process your personal data unless we can demonstrate compelling legitimate grounds for the processing which override your interests, rights and freedoms, or the processing serves the establishment, exercise or defense of legal claims.;If you object, your personal data will no longer be processed unless we can demonstrate compelling legitimate grounds for the processing which override your interests, rights and freedoms, or the processing serves the establishment, exercise or defense of legal claims.
2426;Jeder Mitarbeiter soll unverzüglich Fälle von Verstößen oder potenziellen Verstößen gegen diese Datenschutzrichtlinie oder andere Vorschriften zum Schutz personenbezogener Daten internen (Datenschutzvorfälle) melden.;Jeder Mitarbeiter soll seinem jeweiligen Vorgesetzten, der Geschäftsführung oder dem DSB unverzüglich Fälle von Verstößen gegen diese Datenschutzrichtlinie oder andere Vorschriften zum Schutz personenbezogener Daten (Datenschutzvorfälle) melden.;inconsistent;Every employee should immediately report cases of violations or potential violations of this Privacy Policy or other regulations for the protection of personal data internally (data protection incidents).;Every employee should immediately report cases of violations of this Data Protection Policy or other regulations on the protection of personal data (data protection incidents) to their respective supervisor, the management or the DPO.
2427;Der Lieferant wird spätestens vier Wochen vor einem Audit informiert.;Lieferanten müssen das MDB spätestens 4 Wochen nach erfolgter Beauftragung erstmalig zur Verfügung stellen.;different context;The supplier will be informed at least four weeks before an audit.;Suppliers must make the MDS available for the first time no later than 4 weeks after the order has been placed.
2428;Durch die Angabe von Liefertermin und Auftragsbestätigungsnummer ist es innerhalb weniger Schritte möglich, alle für Mustermann AG relevanten Informationen zu hinterlegen und die Bestätigung an Mustermann AG zu übermitteln.;Durch die Angabe von Liefertermin und Auftragsbestätigungsnummer ist es innerhalb weniger Schritte möglich, alle für Mustermann AG relevanten Informationen zu hinterlegen und die Bestätigung an Mustermann AG zurückzusenden.;neutral;By specifying the delivery date and order confirmation number, it is possible to store all information relevant to Mustermann AG and send the confirmation to Mustermann AG in just a few steps.;By specifying the delivery date and order confirmation number, it is possible to store all information relevant to Mustermann AG and send the confirmation back to Mustermann AG in just a few steps.
2429;In einer zusätzlichen Gefährdungsbeurteilung sind die erforderlichen Schutzmaßnahmen festzulegen.;Im Anschluss an die Gefährdungsbeurteilung hat der Arbeitgeber die erforderlichen Schutzmaßnahmen zu treffen.;inconsistent;The necessary protective measures must be defined in an additional risk assessment.;Following the risk assessment, the employer must take the necessary protective measures.
2430;Sorgen Sie dafür, dass die Beschäftigten geeignetes – mindestens fersenumschließendes – Schuhwerk verwenden.;Sorgen Sie dafür, dass die Beschäftigten geeignetes, fersenumschließendes und rutschhemmendes Schuhwerk verwenden.;inconsistent;Ensure that employees wear suitable footwear - at least shoes that enclose the heel.;Ensure that employees wear suitable, heel-enclosing and slip-resistant footwear.
2431;Sollten einzelne oder mehrere Bestimmungen dieses Handbuchs ganz oder teilweise nicht rechtswirksam oder nicht durchführbar sein oder ihre Rechtswirksamkeit oder Durchführbarkeit später verlieren, wird hierdurch die Gültigkeit der übrigen Bestimmungen nicht berührt.;Sollten eine oder mehrere Bestimmungen dieses Handbuchs ganz oder teilweise nicht rechtswirksam oder nicht durchführbar sein oder ihre Rechtswirksamkeit oder Durchführbarkeit später verlieren, wird hierdurch die Gültigkeit der übrigen Bestimmungen nicht berührt.;neutral;Should one or more provisions of this manual be wholly or partially invalid or unenforceable or lose their legal validity or enforceability at a later date, this shall not affect the validity of the remaining provisions.;Should one or more provisions of this manual be wholly or partially invalid or unenforceable or subsequently lose their legal validity or enforceability, this shall not affect the validity of the remaining provisions.
2432;Der Arbeitsplatz ist nach Beendigung der Arbeiten gereinigt zu verlassen.;Der Arbeitsplatz ist nach Beendigung der Arbeit sauber zu verlassen.;neutral;The workplace must be left clean after completion of the work.;The workplace must be left clean at the end of work.
2433;Der Lieferant gewährt Mustermann AG und dem Kunden Einsicht in die FMEA.;Der Lieferant kann ebenso durch Mustermann AG Kunden, im Beisein von Mustermann AG auditiert werden.;different context;The supplier shall grant Mustermann AG and the customer access to the FMEA.;The supplier can also be audited by Mustermann AG customers in the presence of Mustermann AG.
2434;Referenzmuster aus Erstbemusterung sind vom Lieferanten entsprechend den Aufbewahrungsfristen zu archivieren.;Referenzmuster aus Erstbemusterung sind vom Lieferanten entsprechend den Vorlagestufen und Aufbewahrungsfristen zu archivieren.;inconsistent;Reference samples from initial sampling must be archived by the supplier in accordance with the retention periods.;Reference samples from initial sampling must be archived by the supplier in accordance with the submission stages and retention periods.
2435;Das signierende / beitretende Unternehmen verpflichtet sich, insbesondere durch Gestaltung und ggfs. Anpassung von Richtlinien und Prozessen darauf hinzuwirken, dass das Unternehmen den Grundsätzen dieser Mustermann AG Verhaltensrichtlinie entspricht.;Das signierende / beitretende Unternehmen hat durch geeignete organisatorische Vorkehrungen darauf hinzuwirken, dass die Mustermann AG Verhaltensrichtlinie durch das signierende / beitretende Unternehmen sowie deren Geschäftsführung eingehalten wird.;inconsistent;The signing / acceding company undertakes to work towards ensuring that the company complies with the principles of this Mustermann AG Code of Conduct, in particular by designing and, if necessary, adapting guidelines and processes.;The signing / acceding company must take suitable organizational measures to ensure that the Mustermann AG Code of Conduct is complied with by the signing / acceding company and its management.
2436;Der Anspruch des Auftraggebers auf einen Bareinbehalt entfällt sobald der Auftragnehmer die Sicherheit durch eine andere Art der Sicherheitsleistung im Sinne des § 17 VOB / B erbringt oder der Sicherungsanspruch des Auftraggebers endet.;Dem Auftragnehmer steht es frei, die Sicherheit durch jede andere Art der Sicherheitsleistung im Sinne des § 17 VOB / B zu ersetzen.;different context;The client's entitlement to a cash retention lapses as soon as the contractor provides the security by another type of security within the meaning of § 17 VOB / B or the client's security claim ends.;The Contractor shall be free to replace the security with any other type of security within the meaning of § 17 VOB / B.
2437;Jeder Mitarbeiter ist verpflichtet, sämtliche Regeln des fairen Wettbewerbs einzuhalten.;Jeder Mitarbeiter ist verpflichtet, die Regeln des fairen Wettbewerbs einzuhalten.;neutral;Every employee is obliged to comply with all rules of fair competition.;Every employee is obliged to comply with the rules of fair competition.
2438;Das automatische Ventil muss so beschaffen sein, dass es bei einem Druck entsprechend dem 1,5-fachen des Arbeitsdrucks (MPa) dicht ist (siehe Anhang 5B).;Das automatische Ventil muss bei einem Druck entsprechend dem 1,5-fachen des Arbeitsdrucks (MPa) dicht bleiben (siehe Anhang 5B).;neutral;The automatic valve must be designed so that it is tight at a pressure corresponding to 1.5 times the working pressure (MPa) (see Appendix 5B).;The automatic valve must remain tight at a pressure corresponding to 1.5 times the working pressure (MPa) (see Appendix 5B).
2439;Bei Wahrnehmungen wie auffallender Geruch, Staub, Unwohlsein, im Alarmfall oder bei besonderen Schwierigkeiten ist die Arbeit unverzüglich einzustellen.;Bei auffallendem Geruch, Unwohlsein, im Alarmfall oder bei besonderen Schwierigkeiten ist die Arbeit unverzüglich einzustellen.;inconsistent;Work must be stopped immediately in the event of noticeable odors, dust, discomfort, alarms or special difficulties.;Work must be stopped immediately if there is a noticeable odor, if you feel unwell, in the event of an alarm or in the event of particular difficulties.
2440;Lieferpläne werden mit allen allgemeinen Informationen (Lieferantenname, Teile-Nr., Preis, Lieferzeit und Zahlungsbedingungen, Gültigkeitsdauer usw.) in einem Rahmenbestellformat freigegeben. ;Die Lieferpläne werden mit allen allgemeinen Informationen (Lieferantenname, Teilenummer, Preis, Lieferzeit und Zahlungsbedingungen, Gültigkeitsdauer, ...) in einem Rahmenbestellformat freigegeben. ;neutral;Scheduling agreements are released with all general information (supplier name, part no., price, delivery time and payment terms, validity period, etc.) in a blanket purchase order format.;The scheduling agreements are released with all general information (supplier name, part number, price, delivery time and payment terms, validity period, ...) in a blanket purchase order format.
2441;Die Dokumentation der Prüfung erfolgt in Prüfplänen / Produktionslenkungsplänen / Kontrollplänen, die mit dem QM-Plan übereinstimmen bzw. darin enthalten sein sollten.;Die Dokumentation der Prüfung hat in Prüfplänen / Produktionslenkungsplänen / Kontrollplänen zu erfolgen, die mit dem QM-Plan übereinstimmen bzw. darin enthalten sind.;neutral;The documentation of the inspection takes place in inspection plans / production control plans / control plans, which should correspond to or be included in the QM plan.;The documentation of the inspection must be carried out in inspection plans / production control plans / control plans that correspond to or are included in the QM plan.
2442;Die Verpflichtung, Verschwiegenheit zu wahren, gilt auch nach Beendigung des Arbeitsverhältnisses.;Die Verpflichtung, Verschwiegenheit zu wahren, gilt auch nach Beendigung des Arbeitsverhältnisses fort.;neutral;The obligation to maintain confidentiality also applies after termination of the employment relationship.;The obligation to maintain confidentiality shall continue to apply after termination of the employment relationship.
2443;Bei eventuellen Abweichungen leitet der Lieferant umgehend alle erforderlichen Korrekturmaßnahmen ein und stellt deren Wirksamkeit dauerhaft sicher.;Bei eventuellen Abweichungen leitet der Lieferant umgehend alle erforderlichen Korrekturmaßnahmen ein und stellt deren wirksame Umsetzung dauerhaft sicher.;neutral;In the event of any deviations, the supplier shall immediately initiate all necessary corrective measures and ensure their effectiveness on a permanent basis.;In the event of any deviations, the supplier shall immediately initiate all necessary corrective measures and ensure their effective implementation on a permanent basis.
2444;Es liegt in der Verantwortung des Lieferanten, sicherzustellen, dass die Mustermann AG den PPAP genehmigt hat, bevor irgendwelche Teile an einen Produktionsstandort geliefert werden.;"Es wird von den Lieferanten erwartet, dass sie ihre Teile eindeutig als ""Vorserien-"" oder ""Musterteile"" kennzeichnen, damit die Teile an den belieferten Standorten der Mustermann AG nicht mit Teilen verwechselt werden, die in die ""reguläre"" Fertigung eingehen.";different context;It is the supplier's responsibility to ensure that Mustermann AG has approved the PPAP before any parts are delivered to a production site.;"Suppliers are expected to clearly label their parts as ""pre-series"" or ""sample"" parts so that the parts at the Mustermann AG sites supplied are not confused with parts that are used in ""regular"" production."
2445;Der Lieferant weist die Wirksamkeit des Qualitätsmanagementsystems durch ein Zertifikat eines akkreditierten Unternehmens in regelmäßigen Abständen unaufgefordert nach.;Der Lieferant hat die Wirksamkeit des Qualitätsmanagementsystems bei seinen Unterlieferanten gemäß den allgemein geltenden und anwendbaren Normen des Qualitätsmanagementsystems zu gewährleisten.;different context;The supplier shall provide evidence of the effectiveness of the quality management system by means of a certificate from an accredited company at regular intervals without being requested to do so.;The Supplier shall ensure the effectiveness of the quality management system at its subcontractors in accordance with the generally applicable and valid standards of the quality management system.
2446;Veränderungen am Gerüst dürfen nur vom Gerüstersteller (befähigte Person) vorgenommen werden.;Nur der Gerüstersteller darf Veränderungen am Gerüst vornehmen.;neutral;Modifications to the scaffolding may only be carried out by the scaffolding erector (authorized person).;Only the scaffolding erector may make changes to the scaffolding.
2447;Die Exportfreimachung obliegt grundsätzlich dem Lieferanten.;Die Exportfreimachung obliegt dem Lieferanten.;neutral;Export clearance is always the responsibility of the supplier.;Export clearance is the responsibility of the supplier.
2448;Personenbezogene Daten müssen auf rechtmässige Weise und fair erhoben und verarbeitet werden.;Personenbezogene Daten dürfen nur für festgelegte, eindeutige und rechtmäßige Zwecke erhoben und verarbeitet werden.;different context;Personal data must be collected and processed lawfully and fairly.;Personal data may only be collected and processed for specified, explicit and legitimate purposes.
2449;Der Lieferant muss Gelegenheiten zur Verbesserung der Qualität und Produktivität erkennen und geeignete Projekte zur Verbesserung umsetzen.;Der Lieferant soll Chancen zur Verbesserung der Qualität und Produktivität erkennen und geeignete Projekte zur Verbesserung umsetzen.;neutral;The supplier must recognize opportunities to improve quality and productivity and implement appropriate improvement projects.;The supplier should recognize opportunities to improve quality and productivity and implement suitable improvement projects.
2450;Sorgen Sie dafür, dass die Beschäftigten geeignetes – mindestens fersenumschließendes- feuchtigkeitsdichtes Schuhwerk mit Rutschhemmung verwenden.;Sorgen Sie dafür, dass die Beschäftigten geeignetes, mindestens fersenumschließendes und rutschsicheres Schuhwerk verwenden.;inconsistent;Ensure that employees wear suitable footwear that is at least heel-enclosing, moisture-proof and slip-resistant.;Ensure that employees wear suitable footwear that is at least heel-enclosing and non-slip.
2451;Unter aktiver Korruption versteht man das Bestreben, durch die Gewährung eines Vorteils, die Entscheidung eines anderen zu beeinflussen.;Im Allgemeinen versteht man unter Korruption den Missbrauch anvertrauter Macht in einem beruflichen Umfeld zum eigenen privaten Vorteil oder zum Vorteil eines Dritten, zum Beispiel des Arbeitgebers.;different context;Active corruption is the attempt to influence the decision of another person by granting an advantage.;In general, corruption is understood to be the abuse of entrusted power in a professional environment for one's own private benefit or for the benefit of a third party, for example the employer.
2452;Das Einatmen von Dämpfen, Nebeln oder Aerosolen kann Reizungen der oberen Atemwege auslösen.;Das Einatmen von Dämpfen und Aerosolen kann Reizungen der oberen Atemwege auslösen.;inconsistent;Inhalation of vapors, mists or aerosols may cause irritation of the upper respiratory tract.;Inhalation of vapors and aerosols may cause irritation of the upper respiratory tract.
2453;"Einzelne Räume oder Teilbereiche können vom generellen Rauchverbot ausgenommen werden; diese Bereiche sind vom Verantwortlichen entsprechend zu kennzeichnen.";"Einzelne Räume oder Teilbereiche können als Resultat einer Gefährdungsbeurteilung vom generellen Rauchverbot ausgenommen werden; diese Bereiche sind vom verantwortlichen Betreiber entsprechend zu kennzeichnen.";neutral;"Individual rooms or sub-areas may be exempted from the general smoking ban; these areas must be marked accordingly by the person responsible.";"Individual rooms or sub-areas may be exempted from the general smoking ban as a result of a risk assessment; these areas must be marked accordingly by the responsible operator."
2454;Nachbearbeitete Nähte dürfen keine Löcher oder Einschlüsse aufweisen.;Verschweißte Verbindungen: Die nachbearbeitete Naht darf keine Löcher oder Einschlüsse aufweisen.;neutral;Reworked seams must not have any holes or inclusions.;Welded joints: The reworked seam must not have any holes or inclusions.
2455;Zur Produkt- und Prozessfreigabe hat der Lieferant vor Beginn der Serienlieferung an das Mustermann AG Bestellwerk Erstmuster vorzustellen, die allen vertraglich vereinbarten Spezifikationen entsprechen.;Zur Produkt- und Prozessfreigabe hat der Lieferant vor Beginn der Serienlieferung an das Mustermann AG Bestellwerk Erstmuster zusammen mit einem PPAP / Erstmusterprüfbericht vorzustellen, die allen vertraglich vereinbarten Spezifikationen und Eigenschaften entsprechen.;inconsistent;For product and process approval, the supplier must present initial samples that meet all contractually agreed specifications to the Mustermann AG ordering plant before the start of series delivery.;For product and process approval, the supplier must present initial samples together with a PPAP / initial sample test report that meet all contractually agreed specifications and properties before the start of series delivery to the Mustermann AG ordering plant.
2456;Ausnahmen müssen vom Vorgesetzten schriftlich genehmigt werden.;Ausnahmen sind zu begründen und von dem oder der Vorgesetzten zu genehmigen.;inconsistent;Exceptions must be approved in writing by the supervisor.;Exceptions must be justified and approved by the supervisor.
2457;Der Lieferant ist zur Benutzung der Werkzeuge im Rahmen des mit der Mustermann AG abgeschlossenen Liefervertrags über das mit den Werkzeugen herzustellende Teil berechtigt und verpflichtet.;Der Lieferant ist für die mangelfreie Funktionsfähigkeit der Werkzeuge während ihres Einsatzes bei der von ihm vertraglich übernommenen Belieferung der Mustermann AG verantwortlich.;different context;The supplier is entitled and obliged to use the tools within the scope of the supply contract concluded with Mustermann AG for the part to be manufactured with the tools.;The supplier shall be responsible for the defect-free functionality of the tools during their use in the delivery to Mustermann AG which it has contractually assumed.
2458;Die Arbeitsstelle ist ständig in einem ordentlichen Zustand zu halten und nach Abschluss der Arbeiten sauber zu verlassen.;Halten Sie Ihre Arbeitsstelle ständig in einem ordentlichen Zustand und verlassen Sie sie nach Abschluss der Arbeiten aufgeräumt.;inconsistent;The work site must be kept in a tidy condition at all times and left clean after completion of the work.;Always keep your workplace in a tidy condition and leave it tidy when you have finished work.
2459;Die maximalen Sendeleistungen (PEAK) am Fußpunkt der Antenne dürfen die folgenden Werte nicht überschreiten.;Die maximale Sendeleistung (PEAK) am Fußpunkt der Antenne darf die folgenden Werte nicht überschreiten.;neutral;The maximum transmission power (PEAK) at the base of the antenna must not exceed the following values.;The maximum transmit power (PEAK) at the base of the antenna must not exceed the following values.
2460;Der Auftragnehmer ist auch verpflichtet, der Mustermann AG Änderungen vorzuschlagen, die er im Hinblick auf eine erfolgreiche Vertragserfüllung für notwendig oder zweckmäßig hält und diese Änderungen nach schriftlicher Zustimmung der Mustermann AG auch umzusetzen.;Soweit eine Änderung eine Kostenmehrung oder -minderung und / oder Terminüberschreitung nach sich zieht, ist der Auftragnehmer verpflichtet, hierauf gleichzeitig mit seinem Änderungsvorschlag oder unverzüglich nach Eingang des Änderungsverlangens der Mustermann AG hinzuweisen und ein entsprechendes Nachtragsangebot vorzulegen.;different context;The Contractor shall also be obliged to propose changes to Mustermann AG which it considers necessary or expedient with regard to the successful fulfillment of the contract and to implement these changes with the written consent of Mustermann AG.;If a change results in an increase or reduction in costs and / or a missed deadline, the Contractor shall be obliged to point this out at the same time as its change proposal or immediately after receipt of the change request from Mustermann AG and to submit a corresponding supplementary offer.
2461;Der Lieferant haftet für alle aus der Nichtbeachtung der gesetzlichen Vorschriften entstehenden Schäden.;Bei Nicheinhaltung der gesetzlichen Vorschriften haftet der Lieferant für die daraus resultierenden Schäden.;neutral;The supplier shall be liable for all damages arising from non-compliance with the statutory provisions.;In the event of non-compliance with the statutory provisions, the supplier shall be liable for the resulting damages.
2462;Bei fehlender Spezifikation ist vom Lieferant ein geeigneter Verpackungsvorschlag zur Freigabe an die Mustermann AG zu übermitteln.;Bei fehlender Spezifikation ist vom Lieferant ein geeigneter Verpackungsvorschlag zur Freigabe an die Mustermann AG zu senden.;neutral;In the absence of a specification, the supplier shall submit a suitable packaging proposal to Mustermann AG for approval.;If the specification is missing, the supplier must send a suitable packaging proposal to Mustermann AG for approval.
2463;"Der Mitarbeiter darf sich nur in den Teilen des Betriebs aufhalten, in denen er beschäftigt ist oder in die ihn ein ausdrücklicher Auftrag führt (siehe ""Mustermann AG Betriebsordnung"").";Der Mitarbeiter hat sich nur in den Teilen des Betriebes aufzuhalten, in denen er beschäftigt ist oder in die ihn ein ausdrücklicher Auftrag führt.;neutral;"Employees may only be present in those parts of the company where they are employed or where they have been expressly instructed to go (see ""Mustermann AG Company Regulations"").";The employee must only be in those parts of the company where he is employed or where he has an explicit assignment.
2464;Beim Wasserübereißen ist der Regler sofort zu schließen, die Zylinderentwässerungsventile zu öffnen und die Steuerung auf Mitte zu legen.;Die Zylinderentwässerungsventile sind zu schließen, und der Regler ist langsam zu öffnen, so daß sich ein Schieberkastendruck von höchstens 5 kp / cm2 einstellt.;different context;In the event of water overheating, close the controller immediately, open the cylinder drain valves and set the controller to the middle position.;Close the cylinder drain valves and open the regulator slowly so that a valve box pressure of no more than 5 kp / cm2 is achieved.
2465;Die Geschäftsleitungen der Tochtergesellschaften und die Leiter der Organisationseinheiten der Mustermann AG sind, soweit die Veröffentlichung im Extranet erfolgt ist, für die Bekanntgabe dieser Konzernrichtlinie bzw. ihrer Neufassung oder Änderung auf allen Mitarbeiterebenen ihrer Gesellschaft bzw. ihres Bereichs zuständig.;Die Geschäftsleitungen der Tochtergesellschaften und die Leiter der Organisationseinheiten der Mustermann AG sind, soweit die Veröffentlichung im Extranet und die Information an sie erfolgt ist, für die Bekanntgabe dieser Konzernrichtlinie bzw. ihrer Neufassung oder Änderung auf allen Mitarbeiterebenen ihrer Gesellschaft bzw. ihres Bereichs zuständig.;inconsistent;The management of the subsidiaries and the heads of the organizational units of Mustermann AG are responsible for the announcement of this Group guideline or its revision or amendment at all employee levels of their company or division, insofar as it has been published on the extranet.;The management of the subsidiaries and the heads of the organizational units of Mustermann AG are responsible for the announcement of this Group guideline or its revision or amendment at all employee levels of their company or division, provided that it has been published on the extranet and information has been sent to them.
2466;Der Lieferant ist für die Organisation der Sonderfahrt verantwortlich, sofern mit der Mustermann AG Disposition telefonisch keine andere Vereinbarung getroffen wurde.;Der Lieferant ist für die Organisation der Sonderfahrt verantwortlich, sofern mit dem Mustermann AG Disponenten telefonisch keine andere Vereinbarung getroffen wurde.;neutral;The supplier is responsible for organizing the special trip, unless otherwise agreed by telephone with Mustermann AG Disposition.;The supplier is responsible for organizing the special trip, unless otherwise agreed by telephone with the Mustermann AG dispatcher.
2467;Das automatische Ventil muss bei einem Druck entsprechend dem 1,5-fachen des Arbeitsdrucks (MPa) dicht bleiben (siehe Anhang 5B).;Das Sperrventil muss bei einem Druck entsprechend dem 1,5-fachen des Arbeitsdrucks (MPa) dicht bleiben (nach außen) (siehe Anhang 5B).;different context;The automatic valve must remain tight at a pressure corresponding to 1.5 times the working pressure (MPa) (see Appendix 5B).;The shut-off valve must remain tight (to the outside) at a pressure corresponding to 1.5 times the working pressure (MPa) (see Appendix 5B).
2468;Bei Wahrnehmungen wie z. B. auffälligem Geruch, Staub, Unwohlsein, im Alarmfall oder bei besonderen Schwierigkeiten ist die Arbeit unverzüglich einzustellen.;Bei auffallendem Geruch, Unwohlsein, im Alarmfall oder bei besonderen Schwierigkeiten ist die Arbeit unverzüglich einzustellen.;inconsistent;Work must be stopped immediately in the event of any noticeable odors, dust, discomfort, alarms or special difficulties.;Work must be stopped immediately if there is a noticeable odor, if you feel unwell, in the event of an alarm or in the event of particular difficulties.
2469;Darüber hinaus können in begründeten Ausnahmefällen mit den für die Serienfreigabe zuständigen Mitarbeitern des abnehmenden Mustermann AG Standortes abweichende Regelungen getroffen werden.;In begründeten Ausnahmefällen können mit den für die Serienfreigabe zuständigen Mitarbeitern des abnehmenden Mustermann AG Standortes abweichende Regelungen getroffen werden.;neutral;In addition, in justified exceptional cases, deviating arrangements can be made with the employees responsible for series release at the accepting Mustermann AG location.;In justified exceptional cases, deviating arrangements can be made with the employees responsible for series release at the accepting Mustermann AG site.
